CB462   /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097754/SRR14097754_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097754/SRR14097754_sorted_MD_BQ.bai
CB676   /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097756/SRR14097756_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097756/SRR14097756_sorted_MD_BQ.bai
CB755   /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097853/SRR14097853_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097853/SRR14097853_sorted_MD_BQ.bai
CB776   /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097761/SRR14097761_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097761/SRR14097761_sorted_MD_BQ.bai
CB822   /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097831/SRR14097831_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097831/SRR14097831_sorted_MD_BQ.bai
CB851   /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097760/SRR14097760_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097760/SRR14097760_sorted_MD_BQ.bai
CB1015  /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097851/SRR14097851_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097851/SRR14097851_sorted_MD_BQ.bai
CB1135  /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097711/SRR14097711_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097711/SRR14097711_sorted_MD_BQ.bai
CB1172  /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097856/SRR14097856_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097856/SRR14097856_sorted_MD_BQ.bai
CB1180  /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097858/SRR14097858_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097858/SRR14097858_sorted_MD_BQ.bai
CB1212  /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097838/SRR14097838_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097838/SRR14097838_sorted_MD_BQ.bai
CB1219  /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097860/SRR14097860_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097860/SRR14097860_sorted_MD_BQ.bai
CB1226  /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097697/SRR14097697_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097697/SRR14097697_sorted_MD_BQ.bai
CB1245  /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097863/SRR14097863_sorted_MD_BQ.bam      /scratch.global/balay011/WGS_skChordomas_Bai/SomaticSNV_calling/work/BQSR/SRR14097863/SRR14097863_sorted_MD_BQ.bai
